"Create a policy binding that grants the viewer role to user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"  
"Create a policy binding to grant the viewer role to a user and a group","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com"",\n      ""group:dev-team@example.com""\n    ]\n  }\n]"  
"Establish a policy binding that assigns the editor role to two users and the owner role to a service account","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user1@example.com"",\n      ""user:user2@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/owner"",\n    ""members"": [\n      ""serviceAccount:service-account@example.iam.gserviceaccount.com""\n    ]\n  }\n]"  
"Generate a policy binding that gives the logging admin role to a specific user and the storage object viewer role to a group","""bindings"": [\n  {\n    ""role"": ""roles/logging.admin"",\n    ""members"": [\n      ""user:admin@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/storage.objectViewer"",\n    ""members"": [\n      ""group:readers@example.com""\n    ]\n  }\n]"  
"Create a policy binding that allows a user to deploy apps and another user to manage roles","""bindings"": [\n  {\n    ""role"": ""roles/appengine.developer"",\n    ""members"": [\n      ""user:deploy@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/iam.roleAdmin"",\n    ""members"": [\n      ""user:manager@example.com""\n    ]\n  }\n]"  
"Formulate a policy binding that grants the compute instance admin role to a group and the network admin role to a user","""bindings"": [\n  {\n    ""role"": ""roles/compute.instanceAdmin.v1"",\n    ""members"": [\n      ""group:admins@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/compute.networkAdmin"",\n    ""members"": [\n      ""user:network-admin@example.com""\n    ]\n  }\n]"
"Generate a policy binding that will grant the roles of viewer and editor to the user with the email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding that assigns the Viewer role to an individual user and a group","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com"",\n      ""group:example-group@googlegroups.com""\n    ]\n  }\n]"
"Generate a policy binding to grant the user john.doe@example.com the roles of viewer and editor for the project.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Generate a policy binding that grants the storage admin role to user john.doe@example.com and the viewer role to group dev-team@example.com","""bindings"": [\n  {\n    ""role"": ""roles/storage.admin"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""group:dev-team@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Editor role to the user with the email exampleuser@gmail.com and the Viewer role to the user with the email anotheruser@gmail.com","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:exampleuser@gmail.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:anotheruser@gmail.com""\n    ]\n  }\n]"
"Create a policy binding to allow the user jane.doe@example.com to have the viewer role and the user john.smith@example.com to have the editor role.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:jane.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.smith@example.com""\n    ]\n  }\n]"
"Create a policy binding to allow the user john.doe@example.com to have the roles of viewer and editor on the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to the user alice@example.com and the Editor role to the user bob@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:bob@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to both the user john.doe@example.com and the group dev-team@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com"",\n      ""group:dev-team@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to user john.doe@example.com and the Editor role to user jane.smith@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:jane.smith@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to the user john.doe@example.com and the Editor role to the group dev-team@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:dev-team@example.com""\n    ]\n  }\n]"
"Create a policy binding to give the user jane.doe@example.com the roles of Viewer and Editor on the project.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:jane.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:jane.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding that allows a specific user to view and manage storage buckets","""bindings"": [\n  {\n    ""role"": ""roles/storage.admin"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/storage.objectViewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the roles of viewer and editor to a specific user and a group","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:developers@example.com""\n    ]\n  }\n]"
"Create a policy binding that will assign the Viewer role to user@example.com and the Editor role to editor@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:editor@example.com""\n    ]\n  }\n]"
"Generate a policy binding that grants the user john.doe@example.com the role of viewer and the role of editor for the project.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding to allow the user with email user@example.com the roles of viewer and editor for the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding that assigns the roles of viewer and editor to the user with the email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding to grant the role of viewer to the user alice@example.com and the role of editor to the user bob@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:bob@example.com""\n    ]\n  }\n]"
"Create a policy binding that assigns the roles of viewer and editor to the user with email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the role of viewer to the user john.doe@example.com and the role of editor to the group dev-team@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:dev-team@example.com""\n    ]\n  }\n]"
"Generate a policy binding that will grant the Compute Admin role to a user and the Storage Object Viewer role to a group","""bindings"": [\n  {\n    ""role"": ""roles/compute.instanceAdmin"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/storage.objectViewer"",\n    ""members"": [\n      ""group:developers@example.com""\n    ]\n  }\n]"
"Create a policy binding that assigns the roles of viewer and editor to the user email john.doe@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to user@example.com and the Editor role to admin@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:admin@example.com""\n    ]\n  }\n]"
